19495	43	9
2346	1334	10
2346	1388	10
19168	1680	10
1334	2346	10
1388	2346	10
8917	2346	9
14705	2346	15
15142	2576	12
19495	2576	28
28675	2576	10
15142	2890	17
15597	2890	10
4779	3755	9
27598	3755	11
3755	4779	9
19495	4779	19
27598	4779	10
9263	6618	9
21266	7511	11
8917	7872	9
17730	8386	9
2346	8917	9
7872	8917	9
6618	9263	9
15142	9263	13
15142	10170	11
16886	10170	10
19495	11618	14
15142	13331	18
21266	13331	11
2346	14705	15
15142	14705	9
2576	15142	12
2890	15142	17
9263	15142	13
10170	15142	11
13331	15142	18
14705	15142	9
16084	15142	9
16886	15142	10
19168	15142	11
19495	15142	25
19518	15142	22
20359	15142	11
21266	15142	34
21362	15142	10
28502	15142	33
2890	15597	10
15142	16084	9
17730	16084	20
19168	16084	9
10170	16886	10
15142	16886	10
8386	17730	9
16084	17730	20
19168	17730	11
1680	19168	10
15142	19168	11
16084	19168	9
17730	19168	11
20359	19168	19
28213	19168	13
43	19495	9
2576	19495	28
4779	19495	19
11618	19495	14
15142	19495	25
20758	19495	10
21209	19495	10
27598	19495	9
27915	19495	17
28675	19495	15
15142	19518	22
15142	20359	11
19168	20359	19
19495	20758	10
21209	20758	15
19495	21209	10
20758	21209	15
7511	21266	11
13331	21266	11
15142	21266	34
15142	21362	10
3755	27598	11
4779	27598	10
19495	27598	9
19495	27915	17
19168	28213	13
15142	28502	33
2576	28675	10
19495	28675	15
